Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 13 Apr 2024 3:53:58 PM

Recipient,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,1990-2023,Percentage,Sum total years,Percentage of total
Oman,60,,,55,145,278,285,157,22,,118,32,40,37,49,178,296,12,72,95,31,21,122,492,719,151,422,757,282,88,85,4,5,4,5112,0.6%,5112,0.6%
Syria,739,315,277,166,14,25,25,25,45,48,49,23,40,64,20,30,95,15,309,220,433,513,526,511,26,22,8,37,199,36,80,7,,,4940,0.6%,4940,0.6%
France,65,948,424,96,80,97,64,223,171,105,98,61,38,55,93,2,68,75,4,74,106,43,87,107,17,44,47,85,201,104,225,105,130,274,4415,0.5%,4415,0.5%
Jordan,16,24,,1,5,19,75,77,248,63,139,160,132,281,169,79,52,183,160,233,90,214,175,75,197,231,231,369,184,230,157,67,32,11,4379,0.5%,4379,0.5%
Portugal,70,1012,19,350,453,20,9,2,16,3,3,19,,29,70,158,220,60,145,372,891,170,42,11,3,1,21,8,19,44,45,6,,66,4354,0.5%,4354,0.5%
Azerbaijan,,,,50,25,,,,,,3,,89,,4,59,161,213,33,145,162,568,388,391,631,338,276,291,369,44,51,,19,9,4317,0.5%,4317,0.5%
Switzerland,438,474,386,102,118,93,187,379,435,506,22,67,62,117,203,168,83,108,17,39,48,32,10,6,5,12,73,4,10,10,10,10,15,33,4283,0.5%,4283,0.5%
South Africa,11,26,361,244,239,38,38,11,,21,6,18,,,,262,741,914,493,134,178,208,127,1,50,2,,,,,,,30,30,4184,0.5%,4184,0.5%
Mexico,34,40,19,160,136,55,92,495,19,136,215,149,97,20,325,33,78,,23,59,109,225,257,52,85,318,316,209,16,,242,3,,,4018,0.5%,4018,0.5%
Romania,596,63,185,14,29,2,39,61,170,142,21,24,21,17,285,436,60,97,76,56,107,80,21,20,0 ,22,177,88,35,13,189,190,184,328,3848,0.4%,3848,0.4%
Sweden,94,55,60,46,307,106,98,196,294,224,206,165,74,66,47,78,120,51,51,17,11,191,207,54,44,26,70,32,7,7,3,122,318,98,3544,0.4%,3544,0.4%
Colombia,13,72,36,68,42,35,49,193,160,44,60,268,173,145,18,18,54,229,110,263,261,145,207,171,167,193,18,91,16,22,78,44,50,3,3518,0.4%,3518,0.4%
Denmark,128,154,72,51,88,134,75,77,116,70,50,146,40,50,232,116,84,133,93,130,21,,103,38,170,42,103,53,50,43,63,262,203,261,3453,0.4%,3453,0.4%
Kazakhstan,,,,,,99,2,64,,72,121,139,22,,49,44,46,83,28,43,59,63,96,143,83,446,253,218,276,230,269,85,191,125,3350,0.4%,3350,0.4%
Peru,104,108,130,43,175,47,121,373,51,94,18,10,16,22,47,368,193,172,,43,46,71,5,15,153,211,168,28,103,0 ,28,62,38,22,3085,0.4%,3085,0.4%
Philippines,33,34,43,62,72,28,41,70,64,,,10,5,10,34,12,23,16,10,1,3,63,21,83,12,153,228,278,17,185,350,337,314,225,2836,0.3%,2836,0.3%
Bahrain,362,68,42,1,8,71,51,198,8,,299,28,54,1,10,66,63,27,21,,98,4,24,69,1,17,26,27,72,21,27,183,377,332,2655,0.3%,2655,0.3%
Angola,140,,,123,113,1,44,7,150,360,149,157,148,48,8,38,7,35,29,20,,,,31,2,51,154,111,272,169,51,,46,15,2480,0.3%,2480,0.3%
Hungary,15,22,,928,2,1,156,99,45,71,14,14,,,72,13,253,196,5,4,18,8,,2,7,,14,5,27,16,55,19,39,319,2437,0.3%,2437,0.3%
Yemen,78,113,,,4,167,,,1,52,158,70,585,58,248,311,38,66,41,5,261,47,38,23,6,33,7,6,9,,,,1,,2426,0.3%,2426,0.3%
New Zealand,23,42,54,36,16,7,7,309,15,305,,45,17,156,98,,6,81,3,56,78,28,30,26,81,88,,,6,3,146,36,178,405,2381,0.3%,2381,0.3%
Sudan,4,46,6,,,3,27,63,,36,,106,50,204,294,134,71,35,130,88,184,175,97,130,66,134,109,65,33,18,,,3,,2311,0.3%,2311,0.3%
Belgium,314,125,48,73,47,16,3,50,55,58,36,30,48,21,15,3,15,171,191,86,35,23,29,45,97,52,4,7,1,9,90,255,158,86,2293,0.3%,2293,0.3%
Sri Lanka,19,168,22,37,77,64,207,48,83,62,293,159,43,34,48,57,96,91,79,21,5,21,,22,5,,,45,100,59,,54,3,5,2027,0.2%,2027,0.2%
Nigeria,18,4,59,41,95,2,15,1,,,36,9,6,66,11,,16,62,33,65,223,63,28,30,232,206,60,41,49,18,85,263,54,58,1945,0.2%,1945,0.2%
Ethiopia,2,80,,,,,,69,208,152,114,,20,174,239,,,,,,58,76,193,154,33,10,55,51,12,74,25,16,37,,1851,0.2%,1851,0.2%
Argentina,159,,27,,209,43,21,105,171,276,208,6,15,11,161,3,9,24,21,15,11,16,5,13,6,21,17,45,17,49,7,77,45,22,1834,0.2%,1834,0.2%
Bulgaria,754,339,42,1,1,1,122,,,7,,,,2,12,132,22,48,117,119,8,29,5,,,5,,,,2,44,1,4,,1815,0.2%,1815,0.2%
Belarus,,,,,,,,,41,41,,,,,,6,140,,,3,,75,75,75,66,98,120,158,142,333,13,69,225,121,1802,0.2%,1802,0.2%
North Korea,340,251,183,146,79,184,118,54,54,54,63,73,54,35,8,5,5,5,5,4,1,,,,,,,,,,,,,,1718,0.2%,1718,0.2%
Austria,5,6,5,8,38,22,9,190,247,48,25,15,81,41,56,26,5,269,190,286,7,8,8,6,2,1,13,10,6,17,13,34,4,8,1709,0.2%,1709,0.2%
Turkmenistan,,,,,,,,,,,,,,18,21,,,,7,36,28,237,112,69,72,170,434,109,,,,377,,,1688,0.2%,1688,0.2%
NATO**,,,,,,,,,,18,,18,,,,,116,,,420,,,22,,,,12,25,21,70,465,240,240,,1667,0.2%,1667,0.2%
Russia,,,40,,,,,,,,,,,,,,,90,,8,25,10,121,184,207,113,127,94,62,5,1,6,129,134,1355,0.2%,1355,0.2%
Czechia,,,,,,1,35,9,0 ,1,13,57,42,94,6,600,46,10,25,6,13,71,22,15,,0 ,,,7,1,8,32,69,148,1332,0.2%,1332,0.2%
Uganda,,,,,,32,,,55,39,6,,33,,36,10,5,0 ,14,28,37,468,213,20,2,7,1,22,10,23,76,8,65,,1208,0.1%,1208,0.1%
Ecuador,3,136,4,18,17,45,29,103,31,16,,50,1,,15,47,47,2,102,77,90,69,88,11,53,27,26,20,5,3,21,15,9,8,1188,0.1%,1188,0.1%
Cyprus,81,94,26,10,37,33,170,98,7,113,4,180,66,6,16,18,22,17,,,44,41,6,,,,,30,,19,30,11,,,1178,0.1%,1178,0.1%
Tunisia,4,20,32,,35,56,68,41,18,12,,,44,1,,168,2,,3,,7,7,,40,49,7,39,97,181,15,16,19,21,19,1020,0.1%,1020,0.1%
Armenia,,,,2,181,47,68,,,2,,,,,118,,,1,,46,52,5,,16,,,110,18,,248,,32,29,7,983,0.1%,983,0.1%
Lithuania,,,70,10,,5,15,,15,9,6,16,14,1,47,11,53,4,27,27,8,1,1,73,10,14,34,7,8,37,116,104,75,99,916,0.1%,916,0.1%
Soviet Union,694,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825,0.1%,825,0.1%
Serbia,,,4,2,2,8,1,14,7,1,1,27,,,,,,,,,16,,0 ,,,,23,65,4,84,145,136,172,93,802,0.1%,802,0.1%
Georgia,,,,4,,,,4,28,23,6,85,,1,38,95,97,161,132,38,,2,,5,1,,,7,41,6,,,2,1,778,0.1%,778,0.1%
Lebanon,,,40,40,18,42,27,9,8,4,4,,,,,1,,5,1,52,64,1,31,27,6,48,28,50,53,58,45,43,30,5,738,0.1%,738,0.1%
Eritrea,,,,21,20,7,43,53,212,31,20,57,18,17,80,98,,4,,,,,,,,,,,,,,,,,681,0.1%,681,0.1%
Slovakia,,,,146,29,208,29,,,,0 ,,29,,1,4,,0 ,0 ,9,9,,2,5,,,,47,34,15,25,1,3,74,668,0.1%,668,0.1%
Croatia,,1,29,29,53,1,12,41,,,,57,2,24,8,,,20,103,4,11,19,19,,27,11,20,13,3,5,,,29,88,628,0.1%,628,0.1%
DR Congo,5,,2,,,0 ,61,6,10,46,88,11,18,,,26,24,,18,37,155,,15,1,,3,43,,1,,6,,,51,628,0.1%,628,0.1%
Kenya,43,14,,,30,,,61,,,15,,,,,,,11,,34,96,35,68,1,17,30,32,17,6,18,71,4,1,,602,0.1%,602,0.1%
Tanzania,,,18,,5,,4,,,,2,,1,51,,10,12,1,,29,,78,115,118,14,20,20,2,17,,8,52,,,576,0.1%,576,0.1%
Brunei,4,4,,,,,17,31,7,4,,5,1,0 ,0 ,1,1,,,33,33,229,20,15,121,36,,,,,,0 ,,11,574,0.1%,574,0.1%
Uzbekistan,,,,,,,,,,,,8,9,,,,,,,,30,,,,18,100,55,5,114,77,46,60,22,17,562,0.1%,562,0.1%
Cambodia,48,,,2,74,1,27,22,,,,,,,,,14,56,,4,34,,78,68,,,,,5,1,,35,32,54,553,0.1%,553,0.1%
Ireland,,11,,,41,,,,3,33,0 ,42,21,,25,5,13,27,32,,4,,,,40,43,43,2,5,36,10,,1,77,514,0.1%,514,0.1%
Senegal,,,,,1,6,,,,,,,,,,16,15,12,6,6,4,16,,,9,24,40,48,15,40,22,21,28,170,498,0.1%,498,0.1%
Latvia,,,0 ,8,12,16,0 ,0 ,0 ,4,3,14,4,25,13,5,9,51,46,11,16,27,9,5,5,3,28,30,21,31,10,15,34,33,486,0.1%,486,0.1%
Uruguay,41,63,25,18,11,12,4,19,27,9,4,,13,,,20,8,3,78,29,20,,,3,9,13,,,10,,25,3,7,5,479,0.1%,479,0.1%
Estonia,,,2,3,15,17,1,13,4,1,27,,2,14,11,26,4,18,28,42,13,1,2,18,2,18,29,33,17,18,25,20,18,18,460,0.1%,460,0.1%
Chad,,,,,3,1,,,7,7,,16,,,,,18,30,82,36,42,1,4,59,58,1,2,6,7,1,4,43,5,26,460,0.1%,460,0.1%
Yugoslavia,307,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447,0.1%,447,0.1%
Ghana,4,1,,,11,,7,5,,7,1,12,1,6,37,0 ,0 ,16,,11,2,76,39,52,14,13,22,,0 ,2,10,,40,8,401,0.0%,401,0.0%
Cameroon,8,,3,,,,5,6,9,4,,6,10,,,5,3,,1,,10,,9,139,124,9,23,8,2,4,2,4,2,4,400,0.0%,400,0.0%
Mali,1,,,,0 ,,,9,4,,7,,1,3,,13,,8,3,10,,0 ,9,7,1,,22,32,25,18,44,38,62,81,399,0.0%,399,0.0%
East Germany (GDR),398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,0.0%,398,0.0%
Equatorial Guinea,,,,,,,,,,3,,7,,,7,11,7,28,30,68,3,56,60,2,92,,,,20,,,0 ,,,393,0.0%,393,0.0%
Botswana,22,2,2,11,,11,32,71,2,,53,15,1,10,9,,,,,10,10,,6,8,,,5,,5,7,71,16,11,1,392,0.0%,392,0.0%
Laos,8,,,,,,,43,22,30,7,,,0 ,,4,,,7,26,,15,19,19,,7,,2,123,27,17,3,,2,379,0.0%,379,0.0%
unknown recipient(s),,11,11,19,5,9,3,,4,,,2,,0 ,0 ,,,,12,,8,6,,32,33,13,32,17,31,48,36,7,6,3,347,0.0%,347,0.0%
Czechoslovakia,280,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337,0.0%,337,0.0%
Cuba,169,159,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,337,0.0%,337,0.0%
Slovenia,,2,10,22,11,22,31,9,4,19,2,41,2,17,17,3,3,2,,10,40,28,,,1,,,,,,,9,,26,331,0.0%,331,0.0%
Zambia,,,,,,,8,,,,43,,2,,,0 ,30,5,2,,,1,61,,,15,44,46,,43,3,20,2,5,328,0.0%,328,0.0%
Libya,11,,,,,,,,,6,,,,,,1,16,16,16,22,37,8,73,116,,,,,,,,,,,321,0.0%,321,0.0%
Libya HoR*,,,,,,,,,,,,,,,,,,,,,,,,,17,37,13,6,11,31,188,5,5,,312,0.0%,312,0.0%
Bolivia,,11,25,16,9,2,,,,9,19,,,5,1,1,9,2,3,5,1,25,12,1,46,,27,7,1,34,26,,,,297,0.0%,297,0.0%
Namibia,,,,,2,4,,5,5,,,21,11,,16,,75,,25,15,3,1,57,9,2,,3,35,,,,,,,290,0.0%,290,0.0%
Mongolia,,,,,,,,,,,,,,,,,,,15,,64,3,78,,,73,,,,17,,33,3,,284,0.0%,284,0.0%
Nicaragua,107,1,,,,,,,,,,,,,,,,14,,15,,,,,13,14,86,7,,13,,,,,269,0.0%,269,0.0%
North Macedonia,,,,,29,0 ,,,11,81,17,118,,,,,0 ,,,,,,0 ,1,,,0 ,,,,,,2,4,263,0.0%,263,0.0%
Zimbabwe,2,47,63,0 ,,,,,1,25,8,10,,16,14,25,25,,,,,,,,,,,,,,,,,20,255,0.0%,255,0.0%
Rwanda,3,5,5,,,,1,3,9,21,15,,,,,,3,20,8,11,,,5,15,15,29,,8,3,1,,58,16,,252,0.0%,252,0.0%
Mauritania,16,18,,,16,3,3,8,4,,31,,27,7,,,,,,,17,5,11,,8,1,35,,1,34,,6,,,249,0.0%,249,0.0%
South Sudan,,,,,,,,,,,,,,,,,,37,44,1,2,65,2,10,36,19,8,,,,,8,10,,241,0.0%,241,0.0%
Cote d'Ivoire,,,0 ,,,2,,0 ,,2,0 ,,32,61,9,,,,,,,,,,6,5,5,14,10,15,3,15,21,34,237,0.0%,237,0.0%
Northern Alliance (Afghanistan)*,,,,,,,,,,2,20,210,,,,,,,,,,,,,,,,,,,,,,,232,0.0%,232,0.0%
Congo,44,18,,,,,,27,2,2,0 ,,,8,7,4,1,0 ,,4,28,5,23,35,6,2,,,0 ,3,,3,,,222,0.0%,222,0.0%
Bosnia-Herzegovina,,,,6,6,,58,78,2,25,,,,,,,,,,,,,,,,,,0 ,,0 ,0 ,12,,,189,0.0%,189,0.0%
Trinidad and Tobago,,,,,,,,,,,11,0 ,2,,,,,6,,,24,12,12,,,46,30,,,,,32,,,175,0.0%,175,0.0%
Dominican Republic,,,,,,,4,,6,1,13,5,0 ,8,35,2,,,,10,51,12,,,,1,0 ,,,,4,,5,9,168,0.0%,168,0.0%
Gabon,29,,,,,,,,,,,,,,7,,20,18,,,27,5,1,2,,5,3,,,26,,2,,16,161,0.0%,161,0.0%
United Nations**,,3,,14,49,11,,,1,7,30,,,,2,1,2,1,0 ,,,,,5,23,3,9,,,,,,,,161,0.0%,161,0.0%
Nepal,,,5,,,1,,,,,,12,10,10,36,7,,,1,,,3,,,5,15,8,1,7,36,,0 ,,,155,0.0%,155,0.0%
Djibouti,,1,19,6,,2,,,,,1,,3,,4,7,,,,,,,6,5,15,1,11,,,8,1,46,19,0 ,155,0.0%,155,0.0%
Jamaica,,,,,,,,,10,10,,,,,,10,10,13,2,,1,,,1,,2,22,,19,3,10,28,,10,151,0.0%,151,0.0%
Niger,,14,,,,,,3,,,,,,6,,,,,8,1,,,,12,3,10,0 ,3,1,5,19,16,33,15,150,0.0%,150,0.0%
Burkina Faso,,3,,7,,,,,,0 ,,,,,,12,4,4,,3,0 ,16,3,,,5,7,2,24,7,2,28,10,12,149,0.0%,149,0.0%
Malta,,,13,,,0 ,1,6,0 ,,0 ,0 ,4,,4,18,,,,,,8,8,,12,10,6,8,,,,,,45,142,0.0%,142,0.0%
Mauritius,10,,,8,,,29,1,,,,,,,10,,,,,,,,,,28,,28,19,,,,1,4,,136,0.0%,136,0.0%
Mozambique,,,,,,,,,,2,,,,1,,,,,,,,0 ,0 ,9,16,5,45,,3,22,1,18,5,3,132,0.0%,132,0.0%
Togo,,9,8,,3,3,,9,,,,,,,,,,,,,1,,,,15,,,,,6,5,10,60,,128,0.0%,128,0.0%
El Salvador,,21,4,2,,4,4,,2,,,,19,10,,,,,3,2,2,2,4,1,21,,,1,1,2,4,4,7,5,126,0.0%,126,0.0%
Tajikistan,,,,,29,,,,,,,,,,,,13,7,,34,,,,4,,,7,19,4,5,,,3,,124,0.0%,124,0.0%
Bahamas,2,3,,,,,,,,,33,,,,,3,,,,1,,,,,30,16,20,12,,,,,,,120,0.0%,120,0.0%
Luxembourg,,,,,,,3,,,1,,,,1,,,,,,10,10,,1,,,,1,1,,3,88,,0 ,1,119,0.0%,119,0.0%
Central African Republic,,,1,,,,,,,,,,,,,,9,,0 ,,,7,,,,,,,2,,1,44,2,43,108,0.0%,108,0.0%
Kyrgyzstan,,,,,,,,,,,,,,10,6,3,2,,,,,,,,,4,8,12,1,15,,2,14,23,99,0.0%,99,0.0%
Guatemala,0 ,0 ,,13,4,4,2,,1,,,,,,,,,,0 ,,,,2,,,33,,,4,14,,,10,5,93,0.0%,93,0.0%
African Union**,,,,,,,,,,,,,,,,56,9,,10,,,,,2,,2,,,0 ,3,,,7,,89,0.0%,89,0.0%
Albania,,,,,,26,,,,,,,,2,,7,,5,,,,,15,7,7,7,,2,2,5,1,,,,86,0.0%,86,0.0%
Seychelles,0 ,,,,,,,,,,,,,,,15,,,,,,8,,10,16,,8,,10,,,19,,,84,0.0%,84,0.0%
Southern rebels (Yemen)*,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,0.0%,80,0.0%
Honduras,,,,,,,,,,,,,,,,,,,0 ,,,0 ,0 ,20,13,8,,10,1,23,0 ,4,,,80,0.0%,80,0.0%
Hezbollah (Lebanon)*,0 ,1,1,1,0 ,1,2,0 ,0 ,0 ,0 ,0 ,3,0 ,1,0 ,9,,,30,30,,,,,,,,,,,,,,80,0.0%,80,0.0%
Papua New Guinea,4,10,10,,1,,1,7,,,,,,,,,,,,,,,,,3,,,0 ,8,,,14,,9,67,0.0%,67,0.0%
Sierra Leone,,,1,,7,14,,16,,13,,,,,,,9,,,,,2,0 ,1,,1,2,,,,,,,,66,0.0%,66,0.0%
Guinea,1,1,,,,,,,4,,26,6,,2,,1,,0 ,,,5,1,4,,5,,,2,1,4,,1,,,63,0.0%,63,0.0%
Benin,,,,,,,1,,,,,,7,,,,,3,,1,0 ,0 ,20,2,,,1,,,,1,,3,11,50,0.0%,50,0.0%
Iceland,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,50,0.0%,50,0.0%
Paraguay,6,3,1,,,,2,,,,,6,,,4,1,,,,,3,8,7,0 ,,,,,,2,,5,,,48,0.0%,48,0.0%
Malawi,10,,,,4,,,,,,,,,,,,,,3,,,,1,2,2,2,0 ,,,,,,19,,43,0.0%,43,0.0%
Somalia,16,,,,,,,,,1,,,,,,,,,,,,,,3,,1,2,2,,8,2,2,,4,41,0.0%,41,0.0%
Maldives,,,2,,,,,0 ,8,,,,,,,,15,,,,5,,,5,,,,,,2,3,2,,,40,0.0%,40,0.0%
Palestine,,,,,5,1,9,,,,,,,,,,,2,,15,5,,,,,,1,,,1,,,,2,40,0.0%,40,0.0%
Houthi rebels (Yemen)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,13,12,39,0.0%,39,0.0%
Libya GNC,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,33,0 ,,,,36,0.0%,36,0.0%
