Volume of exports of major arms by region broken down by suppliers 1990-2023
Figures are in millions of SIPRI trend-indicator values (TIVs).
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For a list of states covered by each region see <https://www.sipri.org/databases/regional-coverage>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 13 Apr 2024 8:20:07 AM

,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,1990-2023,% of regional total
,Malawi,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,0%
,Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,0%
,Moldova,,,,,,,,,,,6,42,60,13,,18,3,19,29,20,,,,,,,,,,,,,,,211,0.4%
,Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,0%
,Netherlands,,,,,,1,,,,,,,,,,14,3,,,4,,152,372,,,13,45,,148,,,44,62,30,885,1.7%
,Nigeria,3,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,2,3,,8,0%
,North Korea,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,6,0%
,Norway,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,13,0%
,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,,,53,,,55,0.1%
,Peru,,,,,,,,,,,,10,,,5,,,,,,,,,,,,,,,,,,,,15,0%
,Philippines,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,4,0%
,Poland,,,,,18,3,,7,,47,2,,10,17,,,,,,,0,,,,30,,,,,,,,,,133,0.3%
,Portugal,,,,1,,,,,,,,,,,,,,,,,,0,0,,,,,,,3,,,,,5,0%
,Qatar,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,3,11,,2,,,16,0%
,Romania,,4,7,,,,5,,,,3,,,24,,,,,,1,,,,0,,,,,,,,,,,44,0.1%
,Russia,,,16,60,224,242,113,16,473,228,415,611,162,445,871,285,286,577,1560,1052,836,1586,855,425,464,785,1759,1138,1370,231,676,163,315,102,18343,35%
,Saudi Arabia,,,,12,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,3,20,0%
,Serbia,,,,,,,20,5,,,,,,,,,,,,0,,,15,,10,32,16,,,,15,,,,113,0.2%
,Singapore,,,,,,,,,,,,,,,,,,,,30,1,,,,,,,,,,,,36,,68,0.1%
,Slovakia,,,,,17,48,11,3,,124,33,27,2,,,,,6,0,,,,,,2,,11,10,,1,1,,,,296,0.6%
,South Africa,,,,,4,9,2,6,12,1,13,12,5,8,7,2,45,31,29,10,66,9,38,20,24,34,27,16,8,17,5,17,24,14,513,1%
,South Korea,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,8,,,,13,0%
,Soviet Union,864,1011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1875,3.6%
,Spain,74,13,,24,48,,,41,,,8,4,,,,25,50,,1,23,9,17,48,12,9,,28,,,13,3,13,26,26,514,1%
,Sudan,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,11,0%
,Sweden,,,,,,,,,,,,,,,,,,,132,105,158,184,105,,,,103,,,,,,,,787,1.5%
,Switzerland,22,8,,6,15,30,30,2,1,1,,,,5,9,18,2,,,,,,1,6,0,,,,,1,13,8,5,1,180,0.3%
,Taiwan,,,,,,,,,,,,,,,,,,,,16,,,,,,,,2,,,2,,,,20,0%
,Turkiye,,,,,,,,,,,,,,,,,,8,22,,,,5,,7,1,19,28,21,35,20,90,78,73,406,0.8%
,UAE,2,,,,,,,,,,,,,,,,2,,,,,3,70,75,41,7,26,20,39,69,33,20,14,13,432,0.8%
,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,4,0%
,Ukraine,,,140,,6,33,61,16,157,145,124,89,76,61,19,30,48,103,173,139,309,250,350,124,162,20,100,60,,5,13,,,,2811,5.4%
,United Kingdom,28,22,106,47,30,8,13,12,9,,1,11,1,16,,18,129,59,80,,51,42,8,9,,42,38,2,4,,1,,4,,793,1.5%
,United States,82,47,11,92,129,31,61,236,32,36,29,90,106,13,,,48,31,14,43,80,538,448,90,150,85,342,536,398,93,73,42,406,388,4799,9.3%
,unknown supplier(s),10,2,3,20,,1,4,10,2,2,9,11,5,11,12,52,8,0,18,9,8,5,4,,24,1,,1,,9,3,32,8,77,357,0.7%
,Zambia,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0%
Americas,Regional total,1613,2468,1552,1691,2423,2020,2073,3036,1183,1697,1962,2325,1613,1279,1703,1848,2823,3399,3068,2451,2852,3090,3097,2566,2034,2303,1671,1447,1084,1410,1983,1718,1766,1048,70294,100%
,Argentina,6,0,,,0,5,,,,,2,,2,,,,2,,,,,1,,,,,,,,,,,,,20,0%
,Australia,,,,,18,24,,,,,,42,30,30,2,,9,34,26,,24,96,30,30,60,32,62,60,30,75,392,139,,30,1273,1.8%
,Austria,,,,,,,,,,,2,14,,,,,3,6,,4,3,2,1,1,1,5,1,,1,,,,,,43,0.1%
,Bahrain,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,0%
,Belarus,,,,,,,,353,16,,,,2,,,,,,,,,,,,,,,,,,,,,,371,0.5%
,Belgium,,,,,39,161,58,24,23,49,34,6,2,,,,50,,0,3,,,,,,,,,,,,54,36,,539,0.8%
,Brazil,,19,19,21,,,,,,,,,,,36,1,44,48,45,33,129,18,5,,,,,,35,,18,9,7,,488,0.7%
,Bulgaria,,,,,11,1,17,,,,,,3,7,,,,,,,,,,,6,,,,,,,,,,45,0.1%
,Canada,9,27,5,9,57,126,,2,3,0,6,21,131,183,130,132,155,162,175,142,135,178,165,71,55,23,21,18,5,5,4,8,32,61,2256,3.2%
,Chile,,3,8,,,,,,2,1,1,,1,,,,,,100,,,,,,20,,,,0,,,,8,,144,0.2%
,China,,8,20,3,4,2,,,,,,,3,5,,,20,27,41,55,99,29,51,97,91,132,80,0,1,,,,,30,796,1.1%
,Colombia,,,,,,,,,,,,,6,,,,,,,,,,0,,,,,10,,10,4,,,,30,0%
,Costa Rica,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0%
,Cyprus,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,0%
,Czechia,,,,,,12,4,,5,5,,,1,,,,,,,,,,,1,2,4,13,41,29,1,1,0,,,119,0.2%
,Denmark,,,,183,246,,,,,,,,,,,,,1,,,,,10,5,,,,,2,,,19,5,,470,0.7%
,Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,0,,4,0%
,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,2,,,,,,8,0%
,Finland,,3,1,4,5,3,,,,,,,,,,,,,3,3,,,3,,6,,,6,,,,,,,38,0.1%
,FMLN (El Salvador)*,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0%
,France,280,321,161,101,43,120,89,214,112,202,92,472,22,24,40,309,74,86,110,142,153,157,185,169,189,174,234,111,58,180,176,138,484,45,5467,7.8%
,Germany,163,157,30,75,354,53,181,79,86,232,210,31,14,3,130,188,19,183,296,393,414,324,324,230,255,318,95,245,88,142,78,63,61,69,5578,7.9%
,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,30,0%
,Hungary,,,,18,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0%
,India,,,,,,,,,,,,,,,,,,,,27,,,,,,3,,,,,,,,,30,0%
,Iran,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,51,52,0.1%
,Ireland,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,13,46,,64,0.1%
,Israel,13,76,95,141,93,156,131,124,54,31,91,162,171,108,301,113,91,86,44,113,254,125,52,73,95,80,111,111,92,74,55,131,144,26,3618,5.1%
,Italy,34,133,78,63,62,121,164,167,67,61,36,67,141,87,62,387,192,218,73,69,104,124,141,22,90,80,23,43,37,31,46,96,148,133,3399,4.8%
,Japan,,54,101,122,130,126,90,25,,,,,,,,,,40,,,,,,,,,,,,,,,,,688,1%
,Jordan,,,,,36,,,,,,,,,,,,,,13,,,,,,,,17,71,,,66,66,51,,319,0.5%
,Kuwait,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,95,0.1%
,Kyrgyzstan,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,14,0%
,Latvia,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0%
,Mexico,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,9,0%
,Moldova,,,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,217,0.3%
,Mujahedin (Afghanistan)*,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0%
,Netherlands,31,89,51,18,100,18,23,25,24,194,173,20,9,,13,148,338,313,41,30,104,222,189,156,300,221,241,154,106,154,307,166,77,72,4125,5.9%
,New Zealand,,,,,,,,,,,,,,,,,,,,,,,75,,,,6,,6,,,,29,7,123,0.2%
,Nicaragua,2,,74,18,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,0.1%
,Norway,,6,6,20,33,,,,,3,2,1,1,,10,,4,50,100,100,142,75,111,50,65,90,7,25,45,15,5,17,18,76,1074,1.5%
,Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,0%
,Peru,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,4,0%
,Poland,,,,,,,8,8,0,12,28,13,,,,,,,,8,8,8,17,121,,,,,3,,,,,,234,0.3%
,Portugal,,,,,,,,,,,,,,,,,,,99,,,,,,,7,,,3,,,,,,108,0.2%
,Qatar,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,0%
,Russia,,,29,,38,52,84,354,18,179,65,7,46,,8,,398,769,700,324,144,378,594,881,184,114,112,7,,,,,,,5486,7.8%
,Saudi Arabia,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,18,0%
,Singapore,,,,11,21,,,11,,11,11,,,,,,,,,,,,,,,,,,,,24,72,,,160,0.2%
,Slovakia,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,4,0%
,South Africa,,33,1,,,,2,,8,0,,,,1,1,26,81,76,78,68,117,29,72,,,,,,,16,40,40,,2,690,1%
,South Korea,,10,,,,,,,,,,50,,,,,,,,,16,,,,78,49,71,8,85,,72,60,1,6,506,0.7%
,Soviet Union,377,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537,0.8%
,Spain,38,28,8,8,16,8,20,32,66,21,11,4,,34,4,38,380,118,127,151,186,398,147,42,89,149,26,13,,44,268,113,63,26,2673,3.8%
,Sweden,8,10,10,15,35,21,56,1,,10,21,19,90,63,45,,,,5,7,16,,5,,37,32,36,18,50,79,90,190,18,141,1126,1.6%
,Switzerland,169,222,218,46,6,6,22,22,20,51,76,84,101,124,139,160,182,124,96,92,106,92,84,67,55,42,18,,8,9,,,,13,2454,3.5%
,Taiwan,6,,,,,,4,,,,,6,,,,,,,,,,,2,,,4,2,,,2,,3,,,30,0%
,Turkiye,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,8,24,0%
,Ukraine,,,,,155,,,22,11,11,18,50,,50,,2,,,,,11,4,,,,,5,,,,,,,,338,0.5%
,United Kingdom,352,426,371,386,370,540,544,449,211,189,579,612,482,321,487,192,327,413,440,306,198,193,325,120,2,26,50,27,172,406,212,153,386,176,10440,15%
,United States,125,675,267,408,539,451,489,907,362,434,505,634,350,240,296,153,426,645,439,324,467,637,502,421,348,716,439,440,226,166,125,168,155,79,13556,19%
,unknown supplier(s),,,,20,4,,54,,,,,4,6,,,,,,,0,22,0,9,9,,2,,5,,1,1,,,0,137,0.2%
,Uruguay,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,0%
,Venezuela,,,,,,,,,,,,,,,1,,7,,3,40,,,,,,,,,,,,,,,51,0.1%
Arab League,Regional total,6470,4378,3740,5284,4159,4753,5300,6068,4919,3445,2714,2110,2874,2373,4087,4490,4156,3215,4144,4071,5381,7518,5371,6445,7602,9880,12216,11758,9731,8316,6316,7237,11301,6785,198608,100%
,Armenia,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,4,0%
,Australia,,,,30,,,,0,4,,,,,,0,49,1,,,,,,,,,,40,,,60,,,,,184,0.1%
,Austria,5,,,,,,,3,11,10,,,79,,,,2,2,3,3,17,2,1,13,11,4,4,,0,,,,,,169,0.1%
,Belarus,,,,,,,25,28,,258,223,35,25,37,,7,,0,222,14,142,30,28,66,8,52,66,0,1,18,,,1,,1288,0.6%
,Belgium,,,,,,,,,22,13,11,31,14,15,47,28,7,10,131,134,3,110,21,21,10,2,3,,,55,24,26,23,8,769,0.4%
,Brazil,55,25,33,,,,,,,,,,,,,,,,,,,,1,,,,11,15,18,,,,,,157,0.1%
,Bulgaria,,,53,,,,,,,,,,,18,,,,,,,,,,,4,64,83,17,,,,,18,,256,0.1%
,Canada,6,,71,71,59,58,57,28,26,24,24,7,5,7,20,3,15,13,15,5,6,57,54,50,70,137,42,19,84,181,99,83,87,31,1515,0.8%
,China,73,154,34,43,62,179,,54,,,45,48,123,226,124,98,90,42,99,133,302,52,65,44,221,381,648,323,397,76,55,89,27,206,4510,2.3%
,Czechia,,,,163,175,39,64,7,,42,58,,54,36,,,,,,,2,,,1,4,86,78,16,10,,,,,,836,0.4%
,Czechoslovakia,1,331,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533,0.3%
,Denmark,36,,,,,,,,,,,,,,,,,,,,,,,,5,10,5,,,,,,,,56,0%
,Egypt,19,,13,13,17,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,0%
,Eritrea,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0%
,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,0%
,Finland,,,,,,,,,,,1,1,2,6,6,,68,,2,,3,,4,5,12,8,36,,,,,,,,153,0.1%
,France,887,359,188,81,52,203,379,577,584,519,336,169,725,629,1505,807,826,297,60,203,245,1057,381,828,880,1235,1218,1141,758,1729,766,1044,1193,723,22581,11%
,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,,,,,,,13,0%
,Germany,194,103,37,13,20,25,48,46,33,42,34,29,51,148,10,183,61,20,16,17,53,124,107,146,189,131,1095,514,269,156,387,466,416,633,5813,2.9%
,Greece,,,,,,,,,,,,,,,,13,23,,,,,,,,,,,,,,,,,,36,0%
,Hungary,,,,,,,,,,,,,,,,82,,9,,,,,,,,,,,,,,,,,91,0%
,Indonesia,,,,18,18,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,0%
,Iran,,,,,,,,,,,,,,9,,2,69,,63,65,65,103,,,33,9,,,,,0,,,,417,0.2%
,Israel,,,,,,,,,,,,,,12,14,14,,,,,,,,,,48,,,,,,,,115,203,0.1%
,Italy,19,45,10,5,5,15,21,16,,,,9,83,,6,,9,89,55,115,118,124,72,424,222,211,143,282,41,30,599,1079,1330,838,6013,3%
,Jordan,,,,,,,,,,,,,,,43,22,,13,,28,34,,,9,,8,1,,,80,,,,2,238,0.1%
,Kyrgyzstan,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0%
,Libya,36,,,,,,,,,,,,,,,,18,,,18,18,,,,,,,,,,,,,,90,0%
,Malaysia,,,,,,,,,,,,,,,,,,,,,,,,15,15,,,,,,,,,,30,0%
,Malta,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,10,0%
,Montenegro,,,,,,,,,,,,,,,,,71,109,,,,,,,,,,,,,,,,,180,0.1%
,Netherlands,10,10,,,6,,257,256,235,23,,,,,,,46,67,26,68,,211,472,72,167,142,137,274,234,1,,47,47,79,2887,1.5%
,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,0%
,North Korea,,17,17,17,13,25,25,25,25,31,40,53,34,15,15,15,15,15,15,15,,,,,,,,,,,,,,,425,0.2%
,Norway,,,,,,,,,,,,,,,,,,,,1,,,,,,1,75,75,,,,5,5,,162,0.1%
,Oman,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,0%
,Pakistan,,,,,2,,,,,,,,1,,,18,4,,,,,,,,,,,2,,1,,,,1,29,0%
,Poland,,,,,,2,,,,12,,19,20,,,3,63,23,,,,,,,32,,3,,2,,,,,,180,0.1%
,Qatar,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,8,,2,,,50,0%
,Romania,,,,16,24,,,,,,,,,,,,8,32,,,,,,,,,,,,,,,,,79,0%
,Russia,,,140,157,388,586,169,353,153,225,349,506,744,342,814,665,423,671,1718,1354,2102,2225,941,546,757,1124,2183,2455,2548,982,947,75,170,75,26885,14%
,Saudi Arabia,,,,12,,,1,,,,,,,,,,,,,,1,,,,,3,5,,,,,,,,23,0%
,Serbia,,,,,,,,,,,,,,,,,,,,0,1,4,,,,20,61,11,0,,,,,,98,0%
,Singapore,,,,,9,,,,,,,,,,,,,,,4,4,4,4,4,8,80,77,,,,,,,,192,0.1%
,Slovakia,,,,169,23,49,11,1,,,,,,,,,,6,,,,,,1,0,3,4,,,7,10,,,,285,0.1%
,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,0%
,South Africa,,21,54,54,9,,28,,1,1,12,11,,33,47,,55,12,13,8,27,13,18,18,20,31,41,43,33,24,25,24,16,10,701,0.4%
,South Korea,,,,,,,,,,,,,,,,3,,,,,,,3,,,,320,167,3,,1,9,3,17,526,0.3%
,Soviet Union,2271,1026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3297,1.7%
,Spain,63,,,,,,,,,,,,,13,13,25,58,,,,,38,,97,83,107,202,39,44,63,31,,592,197,1662,0.8%
,Sudan,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,11,0%
,Sweden,20,7,,,,5,11,8,8,,,,,,,,9,9,1,1,43,50,,73,218,66,114,10,3,,80,40,,,772,0.4%
,Switzerland,95,42,53,58,40,46,83,7,1,,17,53,,,,18,,,,10,40,120,45,,115,195,105,45,35,17,20,10,20,20,1308,0.7%
,Syria,,,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,0%
,Turkiye,,,,,,,,,,41,16,,,,15,25,67,40,37,26,32,40,73,68,74,62,73,49,82,192,197,225,164,115,1712,0.9%
,UAE,,,,,,,,,,,,,,,3,11,15,3,,,39,,70,99,40,123,65,74,97,85,165,36,5,1,929,0.5%
,Ukraine,,,,,,21,6,,87,131,83,41,18,69,28,66,63,79,66,81,150,183,151,86,3,,,8,36,64,13,19,,,1552,0.8%
,United Kingdom,689,408,43,423,178,360,564,1291,730,59,270,165,137,135,108,52,69,5,29,463,606,435,120,1004,767,796,862,938,324,157,144,172,526,586,13615,6.9%
,United States,1928,1385,2753,3865,3058,3098,3550,3367,3000,2015,1195,935,758,624,1256,2282,1997,1650,1574,1306,1330,2537,2740,2746,3612,4739,4408,5233,4712,4330,2756,3786,6638,3122,94284,47%
,unknown supplier(s),,0,1,,,,,,,1,,,0,,5,,,,,,,,1,1,22,,3,,,,,,21,8,64,0%
,Yugoslavia,63,447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511,0.3%
ASEAN,Regional total,988,1023,645,639,1639,2244,1581,2696,1464,1709,1075,679,823,893,1171,1145,678,1712,2156,3395,1722,3380,2578,2835,2913,2209,3034,3292,2567,1637,1249,1539,1572,1960,60842,100%
,Australia,2,,,,,,10,14,,,,1,,8,,,,,,,30,30,15,24,19,43,32,34,,1,,,,2,265,0.4%
,Austria,,,,,,,18,,18,,,,,,,,,,,2,3,2,,,,,,1,1,0,4,3,2,7,61,0.1%
,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,60,66,81,23,23,30,23,23,23,15,364,0.6%
,Belgium,,,,,,,3,4,1,,,,,,,,,,,,,,,13,1,9,4,17,16,2,3,3,,,75,0.1%
,Brazil,,,,,,,,,,,,,20,,,,,,,,17,,18,,24,47,18,,,,53,,2,,197,0.3%
,Brunei,,,,,,,,,,,,,,,,,,,,,,24,,,,,12,,,,,,,,36,0.1%
,Bulgaria,,,,,,,,,,7,,,,,,,,,,,4,,,,,,,,,,,,,,11,0%
,Canada,3,7,4,6,11,3,,1,4,2,,3,,2,,0,,4,11,5,,0,16,13,20,13,5,,,3,3,2,4,7,151,0.2%
,China,2,223,187,,259,259,150,195,156,116,24,50,9,57,72,84,85,63,22,39,7,288,368,339,110,218,323,273,216,199,26,170,319,253,5161,8.5%
,Czechia,,,,32,112,,8,8,,,,,,21,1,26,,,1,,,,,29,12,12,32,,,12,,,13,13,333,0.5%
,Denmark,,,,,,,,,,,,,,2,,,,5,,2,,17,7,,9,5,,5,5,2,,,17,17,93,0.2%
,France,63,29,53,60,33,18,141,112,9,33,25,27,14,18,21,23,38,342,870,962,44,47,107,92,83,133,62,280,473,394,157,86,114,126,5089,8.4%
,Germany,242,277,64,200,458,249,174,31,18,44,76,101,24,6,29,6,86,19,137,184,281,371,24,34,151,73,209,159,120,52,32,57,15,782,4783,7.9%
,India,,,,,,,,,,,5,,,,,,9,3,4,,,,,6,,27,12,,,3,148,,,30,247,0.4%
,Indonesia,,,,,,,,9,,54,,,,,,9,9,,,,,,,,,,85,85,15,,,,,,266,0.4%
,Israel,16,16,,,6,6,52,49,39,17,51,53,25,27,25,8,34,70,6,44,73,75,58,41,16,29,182,217,209,91,67,69,263,222,2155,3.5%
,Italy,37,37,11,2,26,83,16,176,99,277,18,,13,13,19,19,52,18,24,126,15,43,68,68,40,50,46,30,62,40,5,18,18,13,1579,2.6%
