Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 13 Apr 2024 3:54:15 PM

Exports by,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,1990-2023,Percentage,Sum total years,Percentage of total
Belgium,1,1,,,39,161,61,93,46,62,46,37,34,15,47,160,59,32,223,243,12,111,22,55,10,12,7,17,21,57,26,92,144,40,1987,0.2%,1987,0.2%
Brazil,106,127,98,40,54,38,27,27,18,,,,20,,46,1,44,54,93,44,146,32,33,31,30,52,123,36,102,21,163,86,8,54,1753,0.2%,1753,0.2%
UAE,2,,,,,28,6,37,,,,,,,3,11,17,3,,34,39,3,70,108,87,142,95,101,114,128,194,58,17,14,1310,0.2%,1310,0.2%
Finland,,18,9,12,20,25,3,1,17,20,12,31,35,35,27,38,121,60,97,63,66,64,99,69,93,26,54,28,39,25,12,15,40,32,1308,0.1%,1308,0.1%
Czechoslovakia,625,427,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1272,0.1%,1272,0.1%
Uzbekistan,,,,,,,,,,,,,,252,126,4,,,,209,209,209,,,,34,68,,,,,,,,1111,0.1%,1111,0.1%
Slovakia,,,,178,40,100,62,58,10,125,37,54,33,,46,,3,22,9,,,,5,1,8,3,20,22,12,8,11,,71,154,1091,0.1%,1091,0.1%
North Korea,5,84,97,103,20,32,37,37,59,42,40,53,150,129,42,15,15,15,15,22,6,,,,1,,,,,,,,,13,1027,0.1%,1027,0.1%
Bulgaria,6,42,58,28,56,1,21,8,41,171,6,10,37,45,20,87,5,9,4,16,4,2,13,23,23,81,83,33,14,10,3,7,34,,998,0.1%,998,0.1%
Denmark,80,,,183,268,16,,,,3,18,,10,2,,,5,6,8,10,8,26,26,8,19,22,21,13,25,2,,24,61,46,910,0.1%,910,0.1%
Jordan,,,,,65,,,6,,,,,,,43,22,,13,13,28,117,,21,33,114,16,18,80,1,103,66,80,51,11,899,0.1%,899,0.1%
Iran,0 ,1,1,1,0 ,1,2,0 ,0 ,0 ,0 ,0 ,3,9,1,2,75,,63,65,65,103,31,17,52,15,5,15,,,6,,136,184,852,0.1%,852,0.1%
Japan,30,54,101,122,130,126,165,25,,,,,,,,,,40,,,,,,,,,,2,3,,,,,13,812,0.1%,812,0.1%
Austria,30,20,20,10,17,,18,3,29,23,23,17,83,2,3,3,62,67,14,44,65,52,23,28,16,10,17,22,8,3,9,3,3,10,756,0.1%,756,0.1%
India,7,0 ,7,9,2,2,0 ,0 ,0 ,0 ,21,2,0 ,4,31,19,33,23,15,27,5,3,,18,40,42,49,56,47,20,153,54,7,34,728,0.1%,728,0.1%
Singapore,44,3,3,11,30,,1,46,23,11,12,,4,,65,,,,,34,27,16,79,7,12,80,77,,,,24,72,36,11,726,0.1%,726,0.1%
unknown supplier(s),10,9,3,41,56,1,67,11,4,3,12,17,19,12,15,53,9,0 ,36,9,31,8,14,10,26,12,5,6,8,12,4,40,48,92,701,0.1%,701,0.1%
Yugoslavia,80,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559,0.1%,559,0.1%
Moldova,,,11,,36,,,217,,,6,42,60,13,,18,3,19,29,20,,12,,,,,,,,,,,,,487,0.1%,487,0.1%
Portugal,,,,1,,,,,,,,,,,,,,,99,46,,0 ,0 ,,18,7,172,56,3,3,46,11,2,10,475,0.1%,475,0.1%
Indonesia,,,,18,18,27,,9,,54,,18,54,,27,9,9,,1,,,4,,,,,85,94,15,9,,17,,,468,0.1%,468,0.1%
Serbia,,,,,,,20,5,,,,20,,,,,5,5,45,0 ,31,4,15,10,10,62,86,11,27,26,49,3,,,435,0.0%,435,0.0%
Libya,36,,,,3,,,3,10,,,,21,16,113,113,18,9,17,32,27,0 ,,,,,,,,,,,,,417,0.0%,417,0.0%
Romania,7,6,15,16,29,11,5,13,2,19,3,,,24,,3,8,32,,2,1,0 ,,216,,,,,,,,,1,1,414,0.0%,414,0.0%
Ireland,,,,,,,,,,,,,,,,24,48,47,41,41,38,1,40,40,21,10,,,,,,13,46,,412,0.0%,412,0.0%
Egypt,25,,15,28,17,12,5,5,,,,,,,,,,,,,,,,,7,21,,,,8,,41,41,5,228,0.0%,228,0.0%
Greece,,,15,10,18,,19,31,9,3,2,2,,6,22,13,23,,,,,,,,,,,30,,,,,7,7,217,0.0%,217,0.0%
Hungary,,,,21,,6,,24,,,,,34,,,82,,9,,,,,,41,,,,,,,,,,,216,0.0%,216,0.0%
Kyrgyzstan,,,,,,57,,,,,,,,92,,,18,18,14,,,,,,,4,5,5,,,,,,,214,0.0%,214,0.0%
Georgia,,,,,,,,,,46,69,,69,,16,,,,,,,,,,,,6,7,,,,,,,213,0.0%,213,0.0%
Pakistan,82,3,,,2,,,,,,4,,9,8,9,25,4,,1,,,,,,,,1,3,3,1,,53,1,5,213,0.0%,213,0.0%
Montenegro,,,,,,,,,,,,,,,,,71,109,,,18,,,,,,,1,,,,,,,199,0.0%,199,0.0%
New Zealand,,34,4,,3,,,,,1,1,,1,,1,0 ,,,,,,,75,,,1,6,,7,,,,29,20,182,0.0%,182,0.0%
Chile,,3,8,,,,29,,2,1,1,,1,,,,,,100,,,,,,20,,,,0 ,,,,8,,173,0.0%,173,0.0%
Syria,,,40,40,,,0 ,0 ,,,,,,,,,3,,,30,30,,,,,,,,,,,,,,142,0.0%,142,0.0%
Saudi Arabia,,,,12,,,1,,,,,,,,,,18,,,,1,62,,,,3,5,,,,,,,3,105,0.0%,105,0.0%
Thailand,,,,,,,,,,,,,,7,7,,79,,,,,,,,,,2,2,,1,,3,,,102,0.0%,102,0.0%
Nicaragua,2,,74,18,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,0.0%,99,0.0%
Lithuania,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,60,,,2,25,8,98,0.0%,98,0.0%
Kuwait,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,95,0.0%,95,0.0%
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,73,94,0.0%,94,0.0%
Kazakhstan,,,,,,13,12,3,7,13,19,13,,,6,,6,,,,,,,,,,,,,,,,,,92,0.0%,92,0.0%
Qatar,,,,40,,,,,,9,,,,,,,2,,,,,0 ,,,,,,,3,11,,14,,,78,0.0%,78,0.0%
East Germany (GDR),77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,0.0%,77,0.0%
Cyprus,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,40,73,0.0%,73,0.0%
Croatia,,,,,,,,,,,10,,,,,,,,,,,,,,,,,3,,,,,4,39,56,0.0%,56,0.0%
Venezuela,,,,,,,,,,,,,,,1,,7,,3,40,,,,,,,,,,,,,,,51,0.0%,51,0.0%
Taiwan,6,,,,,,4,,,,,6,,,,,,,,16,,,2,,,4,2,2,,2,2,3,,,50,0.0%,50,0.0%
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,38,2,50,0.0%,50,0.0%
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,18,50,0.0%,50,0.0%
Lebanon,,1,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,49,0.0%,49,0.0%
Malaysia,,,,,,0 ,,,,11,,,,,,,,,,0 ,,,,15,15,,,,,1,,,,,43,0.0%,43,0.0%
Argentina,6,0 ,,13,5,5,,,,,2,,2,,,,2,,,,,1,,,,,,,,,,,,,37,0.0%,37,0.0%
Brunei,,,,,,,,,,,,,,,,,,,,,,24,,,,,12,,,,,,,,36,0.0%,36,0.0%
Estonia,,,,,,,8,,,,,,,,,,,,,,,,,,,1,,,,,,,9,13,32,0.0%,32,0.0%
Colombia,,,,,,,,,,,,,6,,,,,,,,,,0 ,,,,,10,,10,4,,,,30,0.0%,30,0.0%
Bosnia-Herzegovina,,,,,,,,,,,,,9,,,,,,,,,14,,3,,,,,,,,,2,,27,0.0%,27,0.0%
Latvia,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,6,26,0.0%,26,0.0%
Viet Nam,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,10,,,,,,24,0.0%,24,0.0%
DR Congo,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0.0%,22,0.0%
Peru,,,,,,,,,,,,14,,,5,,,,,,,,,,,,,,,,,,,,20,0.0%,20,0.0%
Ghana,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,19,0.0%,19,0.0%
Aruba,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0.0%,18,0.0%
Ethiopia,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.0%,17,0.0%
Malta,,,,,,,,,,,,,,,10,,,,,,,,,,,5,,,,,,,,,15,0.0%,15,0.0%
Sudan,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,11,0.0%,11,0.0%
Mexico,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,9,0.0%,9,0.0%
Nigeria,3,,,,,,,,,,0 ,,,,,,,,,,,,,,,,,,,,,2,3,,8,0.0%,8,0.0%
Oman,,,,,0 ,,,,,,,,,,,1,,,,,,,,,,,,7,,,,,,,8,0.0%,8,0.0%
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,2,,,,,,8,0.0%,8,0.0%
Sri Lanka,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.0%,8,0.0%
Iceland,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.0%,5,0.0%
Armenia,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,4,0.0%,4,0.0%
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,0 ,,4,0.0%,4,0.0%
Kenya,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.0%,4,0.0%
Philippines,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,4,0.0%,4,0.0%
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,4,0.0%,4,0.0%
Zimbabwe,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,4,0.0%,4,0.0%
Costa Rica,,,,,,,,,,,,,,,,,,,0 ,3,,,,,,,,,,,,,,,3,0.0%,3,0.0%
Eritrea,,,,,,,,,2,0 ,,,,,,,0 ,,,,,,,,,,,,,,,,,,2,0.0%,2,0.0%
Bahrain,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,0.0%,2,0.0%
Cambodia,,,,0 ,0 ,0 ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,0.0%,2,0.0%
Angola,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,0.0%,2,0.0%
Zambia,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0%,2,0.0%
Albania,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,0.0%,1,0.0%
FMLN (El Salvador)*,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0%,1,0.0%
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,0.0%,1,0.0%
Seychelles,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0%,1,0.0%
Libya HoR*,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0 ,,,,,,1,0.0%,1,0.0%
Malawi,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,0.0%,1,0.0%
Uruguay,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,0.0%,1,0.0%
Mujahedin (Afghanistan)*,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0%,1,0.0%
Luxembourg,,,,,,,,,,,,,,,,,,0 ,,,,,,,,,,,,,,,0 ,,1,0.0%,1,0.0%
European Union**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,,,,,0 ,0.0%,0 ,0.0%
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,,,,,,,,0 ,0.0%,0 ,0.0%
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,,,,,,,,,0 ,0.0%,0 ,0.0%
Total world export,30341,28090,24231,25832,22999,22934,23779,28925,27790,24953,19416,18742,17813,19052,21254,21365,24416,26542,24196,24449,25937,30097,27913,27126,27023,28353,30784,31200,27380,27219,23758,26352,33544,29104,872910,100%,872910,

